anc,latitude,block,offensegroup,location,sector,yblock,method,ccn,end_date,longitude,offense_text,neighborhood_cluster,shift,psa,census_tract,ward,bid,octo_record_id,district,xblock,year,report_dat,ucr_rank,offensekey,start_date,voting_precinct,offense,block_group,report_dateonly,report_time,report_hour,report_dayname,report_month,report_weeknum,is_weekend,start_hour,incident_duration_minutes,main_offense,sub_offense,offense_category,method_flag,case_openclose
6E,38.9037316022,100 - 199 block of l street ne,property,"38.9037316022,-77.0047283051",5D1,137319.55,others,25002077,,-77.0047283051,theft/other,cluster 25,evening,501.0,10603.0,6.0,noma,,5.0,399589.87,2025,2025-01-04 22:13:33,6,property|theft/other,2025-01-04 21:24:00,precinct 144,theft/other,010603 3,2025-01-04,22:13:33,22,Saturday,January,1,True,21,,property,theft/other,theft,Others,Open
2C,38.9037432394,18th street nw and l street nw,property,"38.9037432394,-77.0416730027",2D3,137321.65625287,others,25008226,,-77.0416730027,theft f/auto,cluster 6,midnight,207.0,10700.0,2.0,golden triangle,,2.0,396385.3125066,2025,2025-01-18 04:03:46,7,property|theft f/auto,2025-01-18 03:15:00,precinct 17,theft f/auto,010700 1,2025-01-18,04:03:46,4,Saturday,January,3,True,3,,property,theft f/auto,theft,Others,Open
1B,38.917236462,2000 - 2099 block of 8th street nw,property,"38.917236462,-77.0229457261",3D2,138818.94,others,25013256,2025-01-28 12:50:00,-77.0229457261,theft/other,cluster 3,day,305.0,3500.0,1.0,,,3.0,398010.08,2025,2025-01-28 13:14:31,6,property|theft/other,2025-01-28 12:21:00,precinct 37,theft/other,003500 3,2025-01-28,13:14:31,13,Tuesday,January,5,False,12,29.0,property,theft/other,theft,Others,Closed
5D,38.9094049494,1300 - 1399 block of 5th street ne,property,"38.9094049494,-76.9975459006",5D1,137949.33,others,25001526,2025-01-03 21:14:00,-76.9975459006,motor vehicle theft,cluster 23,evening,501.0,8803.0,5.0,,,5.0,400212.85,2025,2025-01-03 21:14:02,8,property|motor vehicle theft,2025-01-03 20:40:00,precinct 76,motor vehicle theft,008803 2,2025-01-03,21:14:02,21,Friday,January,1,False,20,34.0,property,motor vehicle theft,theft,Others,Closed
1D,38.9308014266,1600 - 1665 block of lamont street nw,property,"38.9308014266,-77.0373827045",3D1,140325.18,others,25002498,2025-01-03 10:00:00,-77.0373827045,theft/other,cluster 2,midnight,302.0,2702.0,1.0,,,3.0,396758.68,2025,2025-01-06 00:50:14,6,property|theft/other,2025-01-02 22:00:00,precinct 40,theft/other,002702 1,2025-01-06,00:50:14,0,Monday,January,2,False,22,720.0,property,theft/other,theft,Others,Closed
2A,38.8960181546,2100 - 2199 block of e street nw,property,"38.8960181546,-77.0473467599",2D3,136464.35,others,25017327,2025-02-05 08:25:00,-77.0473467599,theft/other,cluster 5,day,207.0,10800.0,2.0,,,2.0,395892.73,2025,2025-02-05 09:02:12,6,property|theft/other,2025-02-05 08:21:00,precinct 2,theft/other,010800 3,2025-02-05,09:02:12,9,Wednesday,February,6,False,8,4.0,property,theft/other,theft,Others,Closed
4A,38.9851659857,7800 - 7899 block of eastern avenue nw,property,"38.9851659857,-77.0273832155",4D1,146359.84,others,25017594,2025-02-05 18:55:00,-77.0273832155,theft f/auto,cluster 16,day,401.0,1600.0,4.0,,,4.0,397627.51,2025,2025-02-06 11:23:02,7,property|theft f/auto,2025-02-05 16:27:00,precinct 62,theft f/auto,001600 1,2025-02-06,11:23:02,11,Thursday,February,6,False,16,148.0,property,theft f/auto,theft,Others,Closed
4A,38.9649522356,1000 - 1199 block of rittenhouse street nw,property,"38.9649522356,-77.0281530419",4D1,144115.94,others,25023513,2025-02-17 16:33:00,-77.0281530419,motor vehicle theft,cluster 17,evening,402.0,1804.0,4.0,,,4.0,397560.12,2025,2025-02-17 20:10:22,8,property|motor vehicle theft,2025-02-16 18:00:00,precinct 60,motor vehicle theft,001804 2,2025-02-17,20:10:22,20,Monday,February,8,False,18,1353.0,property,motor vehicle theft,theft,Others,Closed
4B,38.9587270205,25 - 99 block of madison street ne,property,"38.9587270205,-77.0069694579",4D2,143424.53,others,25006190,2025-01-14 08:30:00,-77.0069694579,theft f/auto,cluster 17,day,406.0,9505.0,4.0,,,4.0,399395.94,2025,2025-01-14 08:53:39,7,property|theft f/auto,2025-01-13 17:00:00,precinct 65,theft f/auto,009505 3,2025-01-14,08:53:39,8,Tuesday,January,3,False,17,930.0,property,theft f/auto,theft,Others,Closed
6E,38.9025200206,400 - 443 block of k street nw,violent,"38.9025200206,-77.0169168373",1D1,137185.18,others,25018130,2025-02-06 20:32:00,-77.0169168373,robbery,cluster 8,day,101.0,4702.0,6.0,mount vernon triangle cid,,1.0,398532.62,2025,2025-02-07 13:43:15,4,violent|robbery,2025-02-06 18:59:00,precinct 1,robbery,004702 3,2025-02-07,13:43:15,13,Friday,February,6,False,18,93.0,violent,robbery,robbery,Others,Closed
