s_no,Brand_Name,Discounted Price,Actual Price,saving_percentage,core,ssd,model,extra_information
0,Apple,203499,258000.0,21,M1,No SSD,MacBook Air 13 M1 MGN63,8GB-256GB
1,Apple,281999,350000.0,19,M4,No SSD,Macbook Air 13 MW123 M4 Chip,Not Specified
2,ASUS,285999,330000.0,13,Ultra 7,16GB-512GB SSD,Zenbook 14 UX3405CA Intel Core Ultra 7 255H,16GB-512GB SSD
3,Lenovo,287999,340000.0,15,Ultra 7,No SSD,ThinkPad E16 Gen 2 - Intel Core Ultra 7,16GB-512GB
4,Lenovo,146999,175000.0,16,Ryzen 7,No SSD,IdeaPad Slim 3 Ryzen 7,8GB-512GB
5,HP,115999,144999.0,20,Core i7,8GB-512GB SSD,250 G10 Ci3 N305,8GB-512GB SSD
6,Dell,169999,249999.0,32,Core i7,8GB-256GB SSD,Latitude 3540 Ci5-1335U  15.6 FHD,8GB-256GB SSD
7,Dell,343999,415000.0,17,Core i7,No SSD,Latitude 15 5540 15.6 Inches 13th Gen Core i7 DOS,8GB - 512GB
8,Dell,251999,320000.0,21,Core i7,No SSD,Latitude 15 3540 15.6 Inches 13th Gen Core i7 DOS,8GB - 512GB
9,Lenovo,134999,174999.0,23,Core i5,No SSD,IdeaPad Slim 3 Core i5 13th Gen,Not Specified
10,HP,179999,200000.0,10,Core i5,No SSD,Probook 450 G10 Core i5 13th Gen 1335U,Not Specified
11,Lenovo,277999,300000.0,7,Core i7,No SSD,ThinkPad E16 G1 14 Inches 13th Gen Core i7,8GB - 512GB
12,Lenovo,324999,380000.0,14,Core i7,No SSD,LOQ 15  Inches 13th Gen Core i7,16GB - 512GB
13,HP,160999,180000.0,11,Core i7,No SSD,15s FQ2653TU 11th Gen  Core i7,8GB-512GB
14,HP,365999,390000.0,6,Core i7,No SSD,OMEN 16-WD0073dx Ci7-13620H  RTX-4060-8GB,16GB - 1TB
15,HP,469999,520000.0,10,Ultra 7,No SSD,Spectre 16-AA0013dx Ultra 7 155U  16WQXGA,16GB 1TB
16,HP,251999,310000.0,19,Ultra 7,No SSD,ProBook 460 G11 Notebook PC | Intel® Core™ Ultra 7 Processor 155U,8GB-512GB
17,HP,419999,499999.0,16,Core i7,No SSD,OMEN 16-AP0167AX R9-8940HX  RTX-5060-8GB,16GB - 512GB
